comparison,feature,group_a,group_b,group_a_count,group_b_count,group_a_median,group_b_median,median_difference,rank_biserial_effect,absolute_effect,mann_whitney_p_value,adjusted_significance_flag
False Alarm vs Correct Pass,sensor_421,False Alarm,Correct Pass,446,722,1.9644,1.48415,0.48024999999999984,0.25716432927965416,0.25716432927965416,1.4402749949315802e-13,True
False Alarm vs Correct Pass,sensor_148,False Alarm,Correct Pass,446,722,0.0189,0.0144,0.0045000000000000005,0.25689104753860104,0.25689104753860104,1.526683013836451e-13,True
False Alarm vs Correct Pass,sensor_369,False Alarm,Correct Pass,446,718,0.0032,0.0027,0.0005,0.25642979377193753,0.25642979377193753,1.7376214357941037e-13,True
False Alarm vs Correct Pass,sensor_456,False Alarm,Correct Pass,445,724,4.1606,3.4511000000000003,0.7094999999999994,0.2485287727357377,0.2485287727357377,9.123251551864409e-13,True
False Alarm vs Correct Pass,sensor_031,False Alarm,Correct Pass,445,724,0.195,0.18085,0.014149999999999996,0.24757588925445395,0.24757588925445395,1.1130724958202655e-12,True
False Alarm vs Correct Pass,sensor_366,False Alarm,Correct Pass,446,722,0.005,0.0043,0.0007000000000000001,0.24280461597704428,0.24280461597704428,2.9175211239365657e-12,True
False Alarm vs Correct Pass,sensor_320,False Alarm,Correct Pass,445,724,9.0224,7.699199999999999,1.3232,0.23981004407474082,0.23981004407474082,5.480827364680231e-12,True
False Alarm vs Correct Pass,sensor_184,False Alarm,Correct Pass,445,724,30.141,25.11,5.030999999999999,0.23908684586256124,0.23908684586256124,6.342112336768549e-12,True
False Alarm vs Correct Pass,sensor_289,False Alarm,Correct Pass,446,721,0.0043,0.0033,0.001,0.23893695228973222,0.23893695228973222,6.49253854343137e-12,True
False Alarm vs Correct Pass,sensor_341,False Alarm,Correct Pass,445,721,0.053,0.0443,0.0087,0.23359566145646649,0.23359566145646649,1.9647787462366617e-11,True
False Alarm vs Correct Pass,sensor_133,False Alarm,Correct Pass,443,719,2.3244,2.2982,0.02619999999999978,0.23237692179695268,0.23237692179695268,2.722105782102103e-11,True
False Alarm vs Correct Pass,sensor_154,False Alarm,Correct Pass,446,721,0.0127,0.0101,0.0026,0.23172847875708258,0.23172847875708258,2.741821595690132e-11,True
False Alarm vs Correct Pass,sensor_427,False Alarm,Correct Pass,446,721,1.3108499999999998,1.0353,0.27554999999999974,0.2315294527406504,0.2315294527406504,2.854726954553975e-11,True
False Alarm vs Correct Pass,sensor_549,False Alarm,Correct Pass,367,617,75.086,73.726,1.3599999999999994,0.2313338250036434,0.2313338250036434,1.2104557767839482e-09,True
False Alarm vs Correct Pass,sensor_205,False Alarm,Correct Pass,445,721,0.1808,0.1484,0.032399999999999984,0.22849974286649322,0.22849974286649322,5.300143335838598e-11,True
False Alarm vs Correct Pass,sensor_125,False Alarm,Correct Pass,442,719,15.815000000000001,15.76,0.05500000000000149,0.228148068899112,0.228148068899112,6.170536970586775e-11,True
False Alarm vs Correct Pass,sensor_545,False Alarm,Correct Pass,446,722,0.0026,0.0026,0.0,0.22661267281964648,0.22661267281964648,2.237133863768528e-12,True
False Alarm vs Correct Pass,sensor_478,False Alarm,Correct Pass,445,721,5.817,4.9841,0.8329000000000004,0.2247222178933752,0.2247222178933752,1.091082623674907e-10,True
False Alarm vs Correct Pass,sensor_057,False Alarm,Correct Pass,445,723,0.9318,0.9303,0.0014999999999999458,0.22369030413228286,0.22369030413228286,1.2937291120406804e-10,True
False Alarm vs Correct Pass,sensor_126,False Alarm,Correct Pass,442,719,1.078,1.182,-0.10399999999999987,-0.22296238491117004,0.22296238491117004,1.6912280576570681e-10,True
False Alarm vs Correct Pass,sensor_296,False Alarm,Correct Pass,445,724,226.8794,182.26479999999998,44.614600000000024,0.2224781178223354,0.2224781178223354,1.612033947120386e-10,True
False Alarm vs Correct Pass,sensor_018,False Alarm,Correct Pass,446,721,0.9712,0.9734,-0.0022000000000000908,-0.22239913423682856,0.22239913423682856,1.6414656877883514e-10,True
False Alarm vs Correct Pass,sensor_228,False Alarm,Correct Pass,446,722,0.017550000000000003,0.0155,0.002050000000000003,0.2207153770666932,0.2207153770666932,2.22542819970468e-10,True
False Alarm vs Correct Pass,sensor_161,False Alarm,Correct Pass,445,724,499.0,404.0,95.0,0.21689738655410018,0.21689738655410018,4.546983069480281e-10,True
