monitoring_rank,feature,reference_count,current_count,reference_missing_rate,current_missing_rate,missing_rate_difference,reference_mean,current_mean,absolute_mean_shift,standardised_mean_shift,reference_std,current_std,standard_deviation_ratio,reference_median,current_median,absolute_median_shift,psi,ks_statistic,ks_p_value,wasserstein_distance,reference_constant,current_constant,overall_severity,feature_health_score,drift_detected,notes,psi_severity,ks_statistic_severity,standardised_mean_shift_severity,missing_rate_difference_severity,constant_sensor_change_severity,measurement_availability_severity,severity_rank
11,sensor_520,685,167,0.4533120510774142,0.4681528662420382,0.014840815164624044,11.80381124087591,11.419282035928145,0.384529204947766,0.02420618001754791,15.88557982585469,15.562391201509875,0.9796552201501134,5.8827,5.6322,0.2504999999999997,0.102664063858982,0.06848201407404164,0.5402550744050274,0.9895071500632661,False,False,Watch,94.6,True,Current missingness exceeds reference missingness.,Watch,Normal,Normal,Normal,Normal,Normal,1
12,sensor_386,685,167,0.4533120510774142,0.4681528662420382,0.014840815164624044,0.01143985401459854,0.011374251497005987,6.560251759255356e-05,0.00455317702933112,0.014408075321901295,0.014233004932418443,0.987849148094282,0.0068,0.0067,9.99999999999994e-05,0.10158112067004396,0.050299401197604815,0.878062914512659,0.0009038849560548544,False,False,Watch,94.6,True,Current missingness exceeds reference missingness.,Watch,Normal,Normal,Normal,Normal,Normal,1
13,sensor_555,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,0.5138110161443494,0.4615641732283465,0.052246842916002956,0.07900010539943415,0.6613515596192759,0.17416104495820614,0.2633410966150385,0.487,0.45225000000000004,0.03474999999999995,0.06638667533982032,0.0881882286081761,0.0783164001507481,0.04816576225875552,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
14,sensor_568,1020,274,0.18595371109337588,0.12738853503184713,0.05856517606152875,0.06009186274509804,0.06006605839416059,2.5804350937450038e-05,0.0007737949886674773,0.033347787612177125,0.030535294797379608,0.9156617869975122,0.0479,0.05065,0.0027500000000000024,0.06488013157801806,0.04406755402891083,0.7869647425359483,0.002218325582840099,False,False,Watch,97.3,True,No additional data-quality note.,Normal,Normal,Normal,Watch,Normal,Normal,1
15,sensor_073,638,135,0.49082202713487627,0.5700636942675159,0.07924166713263964,149.881889184953,152.6284037037037,2.7465145187507005,0.1399341261501251,19.627195983659952,10.513384798063388,0.5356539368545562,152.0386,153.7635,1.724899999999991,0.05821006793674173,0.09287124114710321,0.2781982096906008,2.6755378646471275,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
16,sensor_558,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,1.6537516619183283,1.4958740157480315,0.15787764617029687,0.07636458837928621,2.0674195922611815,0.5164666615801362,0.24981221205090035,1.5493,1.45805,0.09124999999999983,0.051213344864480426,0.09921409396475023,0.033114514794002556,0.1398784549314086,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
17,sensor_551,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,16.996704653371317,17.08216535433071,0.08546070095939129,0.01612439355519102,5.300087762486945,3.24658014601313,0.6125521484741879,16.28,16.57,0.28999999999999915,0.05018195898196016,0.06735536263095321,0.3010789089864082,0.4990801963124315,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
18,sensor_552,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,1.2542735042735043,1.133031496062992,0.12124200821051234,0.0807082667418999,1.5022253990193701,0.40991450833364873,0.2728715068998532,1.17,1.105,0.06499999999999995,0.048599421469265415,0.08739559264493646,0.08299062605022475,0.10893702010318677,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
19,sensor_554,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,7.6947048433048435,7.741883858267716,0.04717901496287258,0.020242553697943175,2.3306849356495167,1.492858368021433,0.6405234552242911,7.3824,7.5813500000000005,0.19895000000000085,0.047725301937387395,0.07526676686781675,0.1886510788132547,0.22103495352209196,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
20,sensor_550,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,0.6714459639126306,0.6293055118110236,0.042140452101606996,0.060563750901398546,0.6958032069416276,0.570875208088954,0.8204549826641514,0.4752,0.46240000000000003,0.012799999999999978,0.045837183047767766,0.057623138987968336,0.4935816710768564,0.05417192132071998,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
21,sensor_549,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,75.72576448243115,75.48961417322835,0.23615030920279878,0.06920054700914344,3.4125497472093156,3.2974078873337005,0.9662592875108195,74.132,73.91300000000001,0.2189999999999941,0.04565154208433308,0.06761708205277761,0.29672472038402203,0.27689495601707753,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
22,sensor_563,1020,274,0.18595371109337588,0.12738853503184713,0.05856517606152875,262.715262745098,262.78336496350363,0.06810221840561326,0.00917614874856852,7.421655889812947,8.376988338133787,1.128722277414147,264.272,264.272,0.0,0.04362600262575199,0.06022613424932016,0.402776758582577,0.6449338848357856,False,False,Watch,97.3,True,No additional data-quality note.,Normal,Normal,Normal,Watch,Normal,Normal,1
23,sensor_553,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,0.2799889838556505,0.26300314960629917,0.01698583424935135,0.059590031373944766,0.2850448952235031,0.23622137049676273,0.82871636873743,0.1992,0.19715,0.0020499999999999963,0.042175665274961895,0.04939019374714915,0.6897643118821559,0.021552744135526884,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
24,sensor_557,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,4.2119880341880345,4.237286614173228,0.02529857998519347,0.018449952615302564,1.3712002687860882,0.7994254742200608,0.5830114625982281,4.0671,4.16095,0.09384999999999977,0.04111855146999455,0.07143070791364758,0.23828934399839888,0.13102720979237575,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
25,sensor_570,1020,274,0.18595371109337588,0.12738853503184713,0.05856517606152875,21.110712254901962,21.143590145985403,0.03287789108344086,0.0031495679127530223,10.438857644667344,9.343703355666518,0.895088684386813,16.964199999999998,17.673650000000002,0.7094500000000039,0.04067442795260883,0.04874051810505231,0.6734939097331176,0.8038549764479198,False,False,Watch,97.3,True,No additional data-quality note.,Normal,Normal,Normal,Watch,Normal,Normal,1
26,sensor_347,638,135,0.49082202713487627,0.5700636942675159,0.07924166713263964,6.206594200626959,3.707899999999999,2.4986942006269603,0.1336011698104827,18.702637141362114,3.493896870044601,0.18681305976458357,3.04535,3.0591,0.013749999999999929,0.040035811999359884,0.056345059793335706,0.8614756365696852,2.4942541937654155,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
27,sensor_074,638,135,0.49082202713487627,0.5700636942675159,0.07924166713263964,468.3939871473355,466.2548777777778,2.1391093695577297,0.11085132959701763,19.297101598457335,4.08201070666813,0.2115349129422865,466.05174999999997,466.3315,0.27975000000003547,0.038244855195451344,0.051608034366655064,0.9213122594975869,2.2002580995591003,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
28,sensor_548,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,403.65606647673314,403.09215748031494,0.5639089964182062,0.11210655917659187,5.030115994639784,5.186959127172648,1.0311808182356033,403.324,402.221,1.1030000000000086,0.030627703823770714,0.07185693668633308,0.2323318456595994,0.5623724896067246,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
29,sensor_565,1020,274,0.18595371109337588,0.12738853503184713,0.05856517606152875,6.37686274509804,6.698576642335767,0.3217138972377267,0.12893533703964027,2.4951569106211586,3.086948980885164,1.2371762945027298,5.095,5.39,0.29499999999999993,0.02338027170903219,0.054172033777014406,0.539212437165233,0.306778670562454,False,False,Watch,97.3,True,No additional data-quality note.,Normal,Normal,Normal,Watch,Normal,Normal,1
30,sensor_567,1020,274,0.18595371109337588,0.12738853503184713,0.05856517606152875,2.5828095098039214,2.7153270072992695,0.13251749749534802,0.13654680274163966,0.9704913980745818,1.233783496184971,1.2712977143669184,2.11895,2.24915,0.13020000000000032,0.019925906072360944,0.06539287247745806,0.3042892988245606,0.12439020176332471,False,False,Watch,97.3,True,No additional data-quality note.,Normal,Normal,Normal,Watch,Normal,Normal,1
31,sensor_566,1020,274,0.18595371109337588,0.12738853503184713,0.05856517606152875,0.14571372549019607,0.14522153284671532,0.0004921926434807433,0.005954789121721479,0.0826549241996423,0.07528523983382077,0.9108379272356356,0.11895,0.12079999999999999,0.0018499999999999905,0.018297677961250463,0.039086875626162865,0.8903090350185817,0.005298981363746131,False,False,Watch,97.3,True,No additional data-quality note.,Normal,Normal,Normal,Watch,Normal,Normal,1
32,sensor_564,1020,274,0.18595371109337588,0.12738853503184713,0.05856517606152875,0.6807436274509805,0.6755350364963504,0.00520859095463011,0.041965131426019375,0.1241171128895991,0.11266095955671787,0.9076988413106953,0.651,0.65295,0.0019500000000000073,0.017726512181897733,0.03817088879347352,0.9060372955083007,0.007909399689980272,False,False,Watch,97.3,True,No additional data-quality note.,Normal,Normal,Normal,Watch,Normal,Normal,1
33,sensor_569,1020,274,0.18595371109337588,0.12738853503184713,0.05856517606152875,2.425365882352941,2.5531178832116783,0.12775200085873717,0.13627531387326786,0.9374551943981789,1.187991796018793,1.2672518143989289,1.9811999999999999,2.05735,0.07615000000000016,0.01643811072145513,0.0599398883641048,0.4087517427014141,0.11584465266066855,False,False,Watch,97.3,True,No additional data-quality note.,Normal,Normal,Normal,Watch,Normal,Normal,1
34,sensor_547,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,1.046372269705603,1.0116803149606297,0.03469195474497333,0.0875824106100907,0.39610641569822624,0.3577858031767626,0.9032567739305233,0.9167,0.8949,0.02179999999999993,0.009670829980809202,0.04197231756286876,0.8565368250901959,0.03512208083959834,False,False,Watch,97.3,True,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Watch,Normal,Normal,1
35,sensor_562,1252,314,0.0007980845969672786,0.0,0.0007980845969672786,32.151678993610226,32.816365923566885,0.6646869299566589,0.035337110261235795,18.80988357686421,19.886880854087746,1.0572569879458595,28.8069,31.6423,2.8354,0.09686519344471911,0.059899065953073816,0.3193799031532286,1.1791858795231676,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
36,sensor_436,1252,313,0.0007980845969672786,0.0031847133757961785,0.0023866287788289,9.54749089456869,8.663364217252395,0.8841266773162939,0.02455014940917997,36.01308743912144,26.845646702899906,0.7454414106616464,4.5145,4.6628,0.14829999999999988,0.09575235168416148,0.0718849840255591,0.14416784181039746,1.3520228319911385,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
37,sensor_309,1253,313,0.0,0.0031847133757961785,0.0031847133757961785,0.21839584996009576,0.2184878594249201,9.200946482434968e-05,0.0027081544208135185,0.03397496986036358,0.032071886096315685,0.9439857114849688,0.2196,0.2182,0.0013999999999999846,0.09373187950645423,0.05398927557886635,0.44839045893261675,0.0026982479476473486,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
38,sensor_523,1253,314,0.0,0.0,0.0,14.719839185953711,14.764886624203822,0.04504743825011026,0.0062201524554919745,7.242175906851996,6.536677793540211,0.9025847863424173,13.7544,13.610949999999999,0.1434500000000014,0.08885392461375599,0.06075101285577045,0.3031568314713212,0.731101758966174,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
39,sensor_460,1252,314,0.0007980845969672786,0.0,0.0007980845969672786,2.8432553514376995,2.8189414012738854,0.024313950163814102,0.01661318898135284,1.463532991233943,0.7010930137545305,0.4790414824632143,2.8076499999999998,2.91035,0.10270000000000046,0.08738987437983621,0.06774892655827114,0.1921806465120756,0.07663558959359727,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
40,sensor_092,1247,314,0.004788507581803671,0.0,0.004788507581803671,0.0005951082598235756,0.009765923566878979,0.009170815307055403,0.10526910176370831,0.08711782615606069,0.08965884658631869,1.0291676289730425,0.0001,0.0,0.0001,0.08686530750035716,0.06900382574229114,0.17644761498226905,0.010558677145614084,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
41,sensor_113,685,167,0.4533120510774142,0.4681528662420382,0.014840815164624044,0.4568878832116789,0.460202994011976,0.0033151108002971164,0.06432235598800184,0.051539013914780885,0.0363916669680963,0.7060994032262524,0.4628,0.4629,9.999999999998899e-05,0.07918274979774949,0.07204860352288123,0.4742011403743539,0.004681969665880099,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
42,sensor_339,1248,312,0.0039904229848363925,0.006369426751592357,0.0023790037667559645,3.0856978365384613,2.8451083333333336,0.24058950320512773,0.03869625860667247,6.217384105543537,2.1675833339998416,0.34863268815371784,2.5392,2.628,0.08879999999999999,0.07628790908484684,0.05288461538461542,0.4772073333381387,0.2675654113071984,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
43,sensor_028,1252,313,0.0007980845969672786,0.0031847133757961785,0.0023866287788289,6.653329552715655,6.579821725239616,0.07350782747603901,0.05933985964045471,1.2387597126354735,1.2662682493334858,1.022206515450432,7.265000000000001,7.2557,0.00930000000000053,0.0758715684858998,0.06629392971246006,0.21342100523139598,0.0830445053161269,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
44,sensor_387,1253,314,0.0,0.0,0.0,0.008562809257781323,0.007155414012738855,0.0014073952450424686,0.08180331427240875,0.01720462376812483,0.0038200228309114596,0.22203466244864084,0.0069,0.00655,0.0003499999999999996,0.07514792066373277,0.06990865235536625,0.16512376696841183,0.0013538744951157226,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
45,sensor_345,1249,312,0.0031923383878691143,0.006369426751592357,0.0031770883637232427,23.220722417934347,23.202830128205125,0.017892289729221744,0.0020184373550783323,8.86442657445139,9.031818989332484,1.0188836145773428,23.4452,22.24945,1.1957500000000003,0.07386804148075886,0.07960214325306397,0.0803266377794424,0.8934977367257148,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
46,sensor_081,1233,310,0.01596169193934557,0.012738853503184714,0.003222838436160856,-0.019122708840227088,-0.016176451612903226,0.002946257227323862,0.058900875461391965,0.05002060163358792,0.04593110353733998,0.9182437243317377,-0.0093,-0.0068000000000000005,0.0024999999999999988,0.07167295221503046,0.06278680375690032,0.27411712371909575,0.005320097274451627,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
47,sensor_108,1247,314,0.004788507581803671,0.0,0.004788507581803671,-0.0043263833199679224,0.008402547770700637,0.012728931090668558,0.14592289020258312,0.0872305302683981,0.08784248169839133,1.0070153354348568,0.0,0.012799999999999999,0.012799999999999999,0.07162320216766443,0.09686176760531007,0.01674872291047367,0.013972711049387725,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
48,sensor_188,1252,314,0.0007980845969672786,0.0,0.0007980845969672786,17.967028674121405,17.813726114649683,0.15330255947172233,0.01635095552997904,9.375755391826868,4.392691483348011,0.4685160074864212,17.744999999999997,18.36,0.615000000000002,0.06964318589474054,0.05986345414216232,0.32006689023951485,0.4791501564627669,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
49,sensor_015,1250,314,0.0023942537909018356,0.0,0.0023942537909018356,8.93314056,9.292910191082802,0.359769631082802,0.12744740133817026,2.8228871464251006,2.6744328666889663,0.9474104801092964,8.870899999999999,9.2882,0.4173000000000009,0.06912215880374473,0.07074649681528666,0.155691098267448,0.40154140060981897,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
50,sensor_029,1252,313,0.0007980845969672786,0.0031847133757961785,0.0023866287788289,69.42936709265176,69.78019329073481,0.3508261980830554,0.10180122675916772,3.446188314734249,3.512068550569187,1.0191168415124807,69.1333,69.2778,0.14449999999999363,0.0683378427676027,0.0678913738019169,0.19143146926896362,0.3854134606077554,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
51,sensor_218,1233,310,0.01596169193934557,0.012738853503184714,0.003222838436160856,0.070261800486618,0.07709870967741937,0.006836909190801377,0.15964641493599174,0.04282532240728707,0.057794740566634875,1.3495459536061924,0.0612,0.06345,0.002250000000000009,0.06828485005952908,0.06467571880804751,0.24301693678729877,0.006501741431120811,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
52,sensor_589,1252,314,0.0007980845969672786,0.0,0.0007980845969672786,0.00525479233226837,0.005397133757961784,0.0001423414256934135,0.05161827322506609,0.0027575782140711325,0.0032697995661047684,1.185750434718376,0.0046,0.0047,0.00010000000000000026,0.06638417790777376,0.04955637858407441,0.5580756817401751,0.00025893070247424646,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
53,sensor_165,1252,313,0.0007980845969672786,0.0031847133757961785,0.0023866287788289,0.12736341853035144,0.13025878594249202,0.0028953674121405815,0.012104751289351685,0.2391926395619198,0.25584687201088097,1.0696268600884347,0.089,0.092,0.0030000000000000027,0.06635545644373846,0.06150159744408945,0.2909136068921229,0.005647023900777665,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
54,sensor_289,1250,314,0.0023942537909018356,0.0,0.0023942537909018356,0.003948559999999999,0.003824522292993631,0.0001240377070063684,0.03915366232703066,0.0031679720269931436,0.0017285436614668664,0.5456309736129521,0.0037,0.0036,0.00010000000000000026,0.06485219595280996,0.05227515923566878,0.48875321656727194,0.0002356837818799772,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
55,sensor_585,1252,314,0.0007980845969672786,0.0,0.0007980845969672786,0.0038788338658146963,0.0037178343949044587,0.00016099947091023767,0.03895364555395458,0.004133104068199157,0.0009550607216674742,0.23107589499521258,0.0036,0.0037,0.00010000000000000026,0.06404201565757499,0.05713151950509754,0.3757619815527562,0.00020496672849025244,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
56,sensor_035,1253,313,0.0,0.0031847133757961785,0.0031847133757961785,50.58346855546688,50.579315974440895,0.004152581025984148,0.0034525666731172883,1.2027518710405738,1.100151616241306,0.9146954103588282,50.3964,50.4013,0.004899999999999238,0.06312213231554702,0.06367083217530325,0.25355644306362907,0.049405206557909434,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
57,sensor_206,1249,312,0.0031923383878691143,0.006369426751592357,0.0031770883637232427,9.156949559647718,8.622467948717949,0.5344816109297685,0.042970621600465025,12.43830298521873,6.860006421415603,0.5515226980374902,7.74,7.745,0.004999999999999893,0.06307204900462313,0.0683572499024861,0.1866901122178887,0.6104184665145577,False,False,Normal,100.0,False,Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Normal,Normal,0
58,sensor_255,1253,314,0.0,0.0,0.0,0.013913806863527535,0.014060509554140127,0.0001467026906125917,0.01606399861778847,0.009132389394639295,0.009144769331661756,1.0013556076605459,0.0148,0.016,0.0011999999999999997,0.06301006968075105,0.051428164761260886,0.5096967594177201,0.0006160971782593408,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
59,sensor_543,1251,314,0.0015961691939345571,0.0,0.0015961691939345571,0.1111680255795364,0.11136942675159235,0.00020140117205595665,0.0745989169672465,0.002699786809832428,0.002878190823753736,1.0660807784050108,0.1096,0.1096,0.0,0.06237939550457779,0.06495949737025675,0.23204877782772887,0.00028086860634408175,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
60,sensor_389,1253,314,0.0,0.0,0.0,35.12729840383081,35.26599649681528,0.13869809298447677,0.007809616022970141,17.759911956814406,14.937303073816945,0.8410685317663167,32.4096,33.38665,0.9770500000000055,0.06214468836217221,0.07399057548507781,0.12240357094436538,1.7391091353114914,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
61,sensor_089,1253,314,0.0,0.0,0.0,1808.8696733439747,1803.6064885350318,5.263184808942924,0.09815365721468326,53.62189202416779,53.07446902700091,0.9897910540545612,1810.6216,1803.84635,6.7752499999999145,0.0620088405053152,0.07990250151229406,0.07695951589537108,5.302856395183974,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
62,sensor_560,1252,314,0.0007980845969672786,0.0,0.0007980845969672786,0.3245638178913738,0.3302710191082803,0.005707201216906488,0.02866840847842168,0.1990763184919114,0.2106380722094983,1.058076991804812,0.2903,0.30174999999999996,0.01144999999999996,0.06183273065674558,0.05276144156610571,0.4765342018450005,0.011729711894076265,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
63,sensor_124,1244,314,0.007182761372705506,0.0,0.007182761372705506,15.82984726688103,15.82891719745223,0.000930069428800806,0.008841818961082028,0.10518982947904508,0.12007760865152542,1.1415324964990663,15.83,15.83,0.0,0.06169346958303061,0.03868761136256571,0.8403092509696521,0.011948545141738362,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
64,sensor_109,1247,314,0.004788507581803671,0.0,0.004788507581803671,-0.01121018444266239,-0.009114331210191083,0.002095853232471306,0.023479484707229395,0.08926316989512072,0.07610437774223058,0.8525843058413567,-0.0129,-0.00375,0.00915,0.06157139246524385,0.05689833945418049,0.3812767235143913,0.010577992957922888,False,False,Normal,100.0,False,No additional data-quality note.,Normal,Normal,Normal,Normal,Normal,Normal,0
