feature_1,feature_2,correlation,absolute_correlation
sensor_199,sensor_335,0.9865854384593865,0.9865854384593865
sensor_118,sensor_391,0.9862339054518431,0.9862339054518431
sensor_118,sensor_253,0.9861933657838748,0.9861933657838748
sensor_251,sensor_523,0.9859708058369511,0.9859708058369511
sensor_140,sensor_275,0.985739155009271,0.985739155009271
sensor_256,sensor_394,0.9854530337099374,0.9854530337099374
sensor_205,sensor_341,0.9853736079283608,0.9853736079283608
sensor_208,sensor_344,0.9847309149445795,0.9847309149445795
sensor_560,sensor_562,0.9840867667793173,0.9840867667793173
sensor_565,sensor_567,0.9836199468437631,0.9836199468437631
sensor_288,sensor_422,0.9835953162498733,0.9835953162498733
sensor_153,sensor_422,0.9835897977411877,0.9835897977411877
sensor_204,sensor_340,0.9827081591683103,0.9827081591683103
sensor_346,sensor_347,0.9826827278661666,0.9826827278661666
sensor_198,sensor_334,0.9825966306958022,0.9825966306958022
sensor_320,sensor_456,0.982463947810491,0.982463947810491
sensor_335,sensor_471,0.9824319811388481,0.9824319811388481
sensor_184,sensor_320,0.9821842048473157,0.9821842048473157
sensor_394,sensor_528,0.9818283505091796,0.9818283505091796
sensor_183,sensor_319,0.9808252606491473,0.9808252606491473
sensor_026,sensor_028,0.980378935248656,0.980378935248656
sensor_219,sensor_491,0.9803378286833312,0.9803378286833312
sensor_574,sensor_576,0.9802654170338577,0.9802654170338577
sensor_551,sensor_554,0.9801661575822804,0.9801661575822804
sensor_222,sensor_360,0.9799983961126714,0.9799983961126714
sensor_312,sensor_448,0.9795996694782907,0.9795996694782907
sensor_177,sensor_312,0.979483079437468,0.979483079437468
sensor_215,sensor_353,0.979275477228889,0.979275477228889
sensor_224,sensor_362,0.9788025881044042,0.9788025881044042
sensor_220,sensor_358,0.978777021353331,0.978777021353331
sensor_115,sensor_388,0.9786599209228952,0.9786599209228952
sensor_118,sensor_525,0.9786433214466864,0.9786433214466864
sensor_567,sensor_569,0.9785815661943679,0.9785815661943679
sensor_168,sensor_303,0.9784867355868005,0.9784867355868005
sensor_360,sensor_494,0.9783701397203681,0.9783701397203681
sensor_216,sensor_354,0.9780842552431032,0.9780842552431032
sensor_017,sensor_288,0.9776476102730158,0.9776476102730158
sensor_554,sensor_557,0.9776000543459789,0.9776000543459789
sensor_017,sensor_153,0.9775660883502902,0.9775660883502902
sensor_115,sensor_250,0.9770501850466099,0.9770501850466099
sensor_138,sensor_273,0.9768373234865848,0.9768373234865848
sensor_145,sensor_280,0.9767562413838532,0.9767562413838532
sensor_152,sensor_425,0.9762315002067861,0.9762315002067861
sensor_305,sensor_441,0.9758982749831788,0.9758982749831788
sensor_170,sensor_305,0.975685772046808,0.975685772046808
sensor_189,sensor_325,0.9753024888145684,0.9753024888145684
sensor_153,sensor_426,0.9750890487129917,0.9750890487129917
sensor_288,sensor_426,0.9749074978119998,0.9749074978119998
sensor_143,sensor_278,0.9748943097210444,0.9748943097210444
sensor_362,sensor_496,0.9748289745381983,0.9748289745381983
sensor_251,sensor_389,0.974615008622699,0.974615008622699
sensor_172,sensor_443,0.9745587754855721,0.9745587754855721
sensor_588,sensor_589,0.9742756418614679,0.9742756418614679
sensor_358,sensor_492,0.9738462528983133,0.9738462528983133
sensor_300,sensor_301,0.9738011814498991,0.9738011814498991
sensor_278,sensor_416,0.9730768666157565,0.9730768666157565
sensor_344,sensor_480,0.973061181055476,0.973061181055476
sensor_280,sensor_418,0.973040917081903,0.973040917081903
sensor_273,sensor_411,0.9725868879667734,0.9725868879667734
sensor_017,sensor_284,0.9713222750235694,0.9713222750235694
sensor_137,sensor_272,0.9712612483592787,0.9712612483592787
sensor_217,sensor_355,0.9708738865850434,0.9708738865850434
sensor_270,sensor_542,0.9706920749357004,0.9706920749357004
sensor_017,sensor_149,0.9702936084839003,0.9702936084839003
sensor_151,sensor_286,0.9702610103911173,0.9702610103911173
sensor_185,sensor_457,0.9701566670866241,0.9701566670866241
sensor_272,sensor_410,0.968677294157143,0.968677294157143
sensor_269,sensor_407,0.9684923354080867,0.9684923354080867
sensor_229,sensor_367,0.9682791661531064,0.9682791661531064
sensor_407,sensor_541,0.9680305259872002,0.9680305259872002
sensor_228,sensor_366,0.9676316831984351,0.9676316831984351
sensor_248,sensor_520,0.9675973238189878,0.9675973238189878
sensor_319,sensor_455,0.9673847231140954,0.9673847231140954
sensor_165,sensor_301,0.9672312394549424,0.9672312394549424
sensor_287,sensor_425,0.9669626157577467,0.9669626157577467
sensor_422,sensor_428,0.9669619414556485,0.9669619414556485
sensor_239,sensor_377,0.9658534594789142,0.9658534594789142
sensor_166,sensor_300,0.9649265800648174,0.9649265800648174
sensor_167,sensor_302,0.96424322812765,0.96424322812765
sensor_169,sensor_304,0.9641655997449387,0.9641655997449387
sensor_389,sensor_523,0.9640282170040948,0.9640282170040948
sensor_197,sensor_333,0.9638590303898147,0.9638590303898147
sensor_209,sensor_345,0.9636875345173717,0.9636875345173717
sensor_165,sensor_166,0.963663821433527,0.963663821433527
sensor_226,sensor_364,0.9635043419057472,0.9635043419057472
sensor_200,sensor_336,0.9632259760328756,0.9632259760328756
sensor_017,sensor_422,0.9630490229311294,0.9630490229311294
sensor_284,sensor_426,0.962208762370924,0.962208762370924
sensor_307,sensor_443,0.9621031153679404,0.9621031153679404
sensor_123,sensor_128,0.9620742759336827,0.9620742759336827
sensor_149,sensor_426,0.961845642932186,0.961845642932186
sensor_171,sensor_306,0.9617497372878022,0.9617497372878022
sensor_333,sensor_336,0.9614077860569594,0.9614077860569594
sensor_364,sensor_498,0.9611568910448012,0.9611568910448012
sensor_173,sensor_310,0.9599805573944229,0.9599805573944229
sensor_175,sensor_310,0.9599801836810974,0.9599801836810974
sensor_173,sensor_308,0.9599575957916688,0.9599575957916688
sensor_175,sensor_308,0.9599569145666655,0.9599569145666655
sensor_146,sensor_281,0.9597831801465458,0.9597831801465458
sensor_321,sensor_457,0.9595508528060895,0.9595508528060895
sensor_318,sensor_454,0.9591509479976398,0.9591509479976398
sensor_310,sensor_444,0.9588830949858299,0.9588830949858299
sensor_308,sensor_444,0.9588630864735941,0.9588630864735941
sensor_174,sensor_309,0.9587134810457235,0.9587134810457235
sensor_574,sensor_578,0.9578738556284137,0.9578738556284137
sensor_095,sensor_097,-0.9569904438627016,0.9569904438627016
sensor_182,sensor_318,0.9567572792285317,0.9567572792285317
sensor_310,sensor_446,0.9567054640423777,0.9567054640423777
sensor_308,sensor_446,0.9566786297224593,0.9566786297224593
sensor_291,sensor_429,0.9557274448915029,0.9557274448915029
sensor_176,sensor_311,0.9550613647122865,0.9550613647122865
sensor_422,sensor_426,0.9545951880513143,0.9545951880513143
sensor_240,sensor_378,0.9544873993249232,0.9544873993249232
sensor_155,sensor_422,0.954389469625778,0.954389469625778
sensor_311,sensor_447,0.9542650001340657,0.9542650001340657
sensor_290,sensor_422,0.9541953742154409,0.9541953742154409
sensor_149,sensor_428,0.9540952880435777,0.9540952880435777
sensor_147,sensor_282,0.9538723088169702,0.9538723088169702
sensor_431,sensor_437,0.9537222760960772,0.9537222760960772
sensor_306,sensor_442,0.9533941462065232,0.9533941462065232
sensor_270,sensor_408,0.9528092318548023,0.9528092318548023
sensor_332,sensor_468,0.9521379700007716,0.9521379700007716
sensor_431,sensor_436,0.9516719858135686,0.9516719858135686
sensor_284,sensor_428,0.9510584902291281,0.9510584902291281
sensor_309,sensor_445,0.9504540093470779,0.9504540093470779
sensor_156,sensor_291,0.9502822036354823,0.9502822036354823
