wafer_id,target,status,decision,calibrated_failure_probability,prediction_confidence,combined_uncertainty,data_familiarity,historical_weighted_failure_rate,priority_1_sensor,priority_1_score,priority_1_level,top_5_sensors,very_high_or_high_sensor_count,missing_priority_sensor_count,inspection_summary
WF-000059,1,Fail,High Risk,0.1271055599532795,0.1648954744173592,0.8351045255826408,0.031125299281724028,0.1027902834013755,sensor_060,0.9,Very High,"sensor_060, sensor_034, sensor_432, sensor_153, sensor_104",3,0,"The record is assigned to High Risk with a calibrated failure probability of 12.71%. The first statistical sensor measurements to investigate are sensor_060, sensor_034, sensor_432. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000063,1,Fail,Engineering Review,0.0736807735274379,0.2855868672884275,0.7144131327115725,0.06464485235434958,0.0,sensor_104,0.9,Very High,"sensor_104, sensor_060, sensor_520, sensor_478, sensor_206",2,0,"The record is assigned to Engineering Review with a calibrated failure probability of 7.37%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_520. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000069,0,Pass,High Risk,0.1550037502939744,0.2080502909361731,0.7919497090638269,0.1963288108539505,0.0,sensor_060,0.875,Very High,"sensor_060, sensor_104, sensor_065, sensor_153, sensor_015",4,0,"The record is assigned to High Risk with a calibrated failure probability of 15.50%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_065. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000080,0,Pass,High Risk,0.1217196747138822,0.1876960654735811,0.8123039345264189,0.17877094972067042,0.0194391408357076,sensor_060,0.9249999999999999,Very High,"sensor_060, sensor_104, sensor_511, sensor_520, sensor_386",3,0,"The record is assigned to High Risk with a calibrated failure probability of 12.17%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000097,1,Fail,Insufficient Evidence,0.1492766461690038,0.1563115601873058,0.8436884398126941,0.015163607342378427,0.1712749484787042,sensor_478,0.825,Very High,"sensor_478, sensor_104, sensor_060, sensor_206, sensor_511",5,0,"The record is assigned to Insufficient Evidence with a calibrated failure probability of 14.93%. The first statistical sensor measurements to investigate are sensor_478, sensor_104, sensor_060. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000105,0,Pass,High Risk,0.0903947877565658,0.3076931145399352,0.6923068854600648,0.23543495610534715,0.0933776167553116,sensor_104,0.95,Very High,"sensor_104, sensor_060, sensor_520, sensor_181, sensor_034",4,0,"The record is assigned to High Risk with a calibrated failure probability of 9.04%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_520. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000109,0,Pass,High Risk,0.1053196950607065,0.2106138718048577,0.7893861281951422,0.04868316041500398,0.0,sensor_060,0.95,Very High,"sensor_060, sensor_104, sensor_478, sensor_206, sensor_342",4,0,"The record is assigned to High Risk with a calibrated failure probability of 10.53%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_478. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000113,0,Pass,High Risk,0.1003935256931306,0.2133200057636572,0.7866799942363427,0.3375897845171588,0.0008161783769446,sensor_060,0.9249999999999999,Very High,"sensor_060, sensor_104, sensor_034, sensor_153, sensor_478",3,0,"The record is assigned to High Risk with a calibrated failure probability of 10.04%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_034. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000117,0,Pass,High Risk,0.08617730496953,0.3532961700040336,0.6467038299959664,0.4485235434956105,0.0,sensor_060,0.9,Very High,"sensor_060, sensor_104, sensor_511, sensor_034, sensor_424",3,0,"The record is assigned to High Risk with a calibrated failure probability of 8.62%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000122,0,Pass,High Risk,0.1958908042345759,0.2756980984333382,0.7243019015666619,0.1372705506783719,0.0,sensor_104,0.85,Very High,"sensor_104, sensor_034, sensor_065, sensor_060, sensor_066",5,0,"The record is assigned to High Risk with a calibrated failure probability of 19.59%. The first statistical sensor measurements to investigate are sensor_104, sensor_034, sensor_065. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000131,0,Pass,High Risk,0.104469726751709,0.1516262019641405,0.8483737980358594,0.06943335993615318,0.364657558466445,sensor_104,0.875,Very High,"sensor_104, sensor_060, sensor_511, sensor_520, sensor_386",4,0,"The record is assigned to High Risk with a calibrated failure probability of 10.45%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000141,0,Pass,High Risk,0.1223067350011968,0.3017567133283098,0.6982432866716901,0.6847565841979251,0.1180709227680543,sensor_104,0.95,Very High,"sensor_104, sensor_511, sensor_065, sensor_060, sensor_066",3,0,"The record is assigned to High Risk with a calibrated failure probability of 12.23%. The first statistical sensor measurements to investigate are sensor_104, sensor_511, sensor_065. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000142,0,Pass,High Risk,0.091274723666988,0.3145304428185273,0.6854695571814726,0.8387869114126099,0.1361453747627367,sensor_104,0.875,Very High,"sensor_104, sensor_060, sensor_065, sensor_511, sensor_066",2,0,"The record is assigned to High Risk with a calibrated failure probability of 9.13%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_065. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000150,0,Pass,High Risk,0.1112806630063405,0.158852601728333,0.841147398271667,0.1476456504389465,0.1156190535184121,sensor_065,0.8125,Very High,"sensor_065, sensor_104, sensor_060, sensor_015, sensor_066",3,0,"The record is assigned to High Risk with a calibrated failure probability of 11.13%. The first statistical sensor measurements to investigate are sensor_065, sensor_104, sensor_060. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000154,0,Pass,High Risk,0.1163668071051087,0.160829981719526,0.839170018280474,0.1580207501995211,0.0,sensor_104,0.875,Very High,"sensor_104, sensor_060, sensor_511, sensor_520, sensor_386",3,0,"The record is assigned to High Risk with a calibrated failure probability of 11.64%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000155,1,Fail,Engineering Review,0.0680880688253122,0.2833128978460839,0.7166871021539161,0.4086193136472466,0.1814499325425076,sensor_060,0.9,Very High,"sensor_060, sensor_104, sensor_520, sensor_214, sensor_424",3,0,"The record is assigned to Engineering Review with a calibrated failure probability of 6.81%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_520. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000166,0,Pass,High Risk,0.1657742816473493,0.1914613227405539,0.8085386772594461,0.42537909018355946,0.0,sensor_104,0.875,Very High,"sensor_104, sensor_060, sensor_520, sensor_511, sensor_563",4,0,"The record is assigned to High Risk with a calibrated failure probability of 16.58%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_520. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000171,0,Pass,High Risk,0.2453715147057599,0.1805531186984122,0.8194468813015878,0.22505985634477255,0.0742195406600009,sensor_104,0.9,Very High,"sensor_104, sensor_060, sensor_511, sensor_206, sensor_520",3,0,"The record is assigned to High Risk with a calibrated failure probability of 24.54%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000175,0,Pass,High Risk,0.1575054607472795,0.1774426246731109,0.8225573753268891,0.20830007980845966,0.0251474039245907,sensor_104,0.925,Very High,"sensor_104, sensor_060, sensor_511, sensor_015, sensor_034",3,0,"The record is assigned to High Risk with a calibrated failure probability of 15.75%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000176,0,Pass,High Risk,0.0977705350883857,0.2649847707133506,0.7350152292866494,0.27853152434158024,0.5047031933235951,sensor_104,0.925,Very High,"sensor_104, sensor_060, sensor_511, sensor_478, sensor_015",3,0,"The record is assigned to High Risk with a calibrated failure probability of 9.78%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000177,0,Pass,High Risk,0.1383367466928345,0.230143125299454,0.7698568747005459,0.6145251396648045,0.0307443387089433,sensor_104,0.9,Very High,"sensor_104, sensor_511, sensor_060, sensor_065, sensor_478",2,0,"The record is assigned to High Risk with a calibrated failure probability of 13.83%. The first statistical sensor measurements to investigate are sensor_104, sensor_511, sensor_060. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000188,0,Pass,High Risk,0.1899591813905203,0.1970674677887459,0.802932532211254,0.3854748603351955,0.0921671643601254,sensor_104,0.875,Very High,"sensor_104, sensor_065, sensor_511, sensor_520, sensor_066",4,0,"The record is assigned to High Risk with a calibrated failure probability of 19.00%. The first statistical sensor measurements to investigate are sensor_104, sensor_065, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000191,0,Pass,High Risk,0.2366487052575615,0.2141170073585696,0.7858829926414304,0.4221867517956903,0.1221804827970481,sensor_104,0.875,Very High,"sensor_104, sensor_060, sensor_065, sensor_342, sensor_478",5,0,"The record is assigned to High Risk with a calibrated failure probability of 23.66%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_065. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000196,0,Pass,Insufficient Evidence,0.0824352728077776,0.1408361504996082,0.8591638495003917,0.03591380686352763,0.0143404562285758,sensor_104,0.85,Very High,"sensor_104, sensor_060, sensor_511, sensor_432, sensor_478",4,0,"The record is assigned to Insufficient Evidence with a calibrated failure probability of 8.24%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000216,0,Pass,High Risk,0.1849699847961197,0.2212822159938733,0.7787177840061267,0.6320830007980847,0.1378605830982167,sensor_060,0.875,Very High,"sensor_060, sensor_104, sensor_511, sensor_520, sensor_386",3,0,"The record is assigned to High Risk with a calibrated failure probability of 18.50%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000217,0,Pass,High Risk,0.1679896899796958,0.246203090900397,0.753796909099603,0.6065442936951317,0.1662338545120203,sensor_104,0.9,Very High,"sensor_104, sensor_060, sensor_034, sensor_478, sensor_206",4,0,"The record is assigned to High Risk with a calibrated failure probability of 16.80%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_034. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000220,0,Pass,High Risk,0.1179466031569671,0.3170906565417035,0.6829093434582965,0.11173184357541899,0.0,sensor_104,0.975,Very High,"sensor_104, sensor_511, sensor_478, sensor_103, sensor_271",1,0,"The record is assigned to High Risk with a calibrated failure probability of 11.79%. The first statistical sensor measurements to investigate are sensor_104, sensor_511, sensor_478. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000229,0,Pass,High Risk,0.2326193201507954,0.2345810678389503,0.7654189321610496,0.48363926576217076,0.0305798673813122,sensor_104,0.9,Very High,"sensor_104, sensor_478, sensor_206, sensor_065, sensor_511",3,0,"The record is assigned to High Risk with a calibrated failure probability of 23.26%. The first statistical sensor measurements to investigate are sensor_104, sensor_478, sensor_206. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000232,1,Fail,Engineering Review,0.0524209766877405,0.2943467490014412,0.7056532509985587,0.8523543495610535,0.088870967979533,sensor_153,0.75,High,"sensor_153, sensor_034, sensor_206, sensor_104, sensor_060",3,0,"The record is assigned to Engineering Review with a calibrated failure probability of 5.24%. The first statistical sensor measurements to investigate are sensor_153, sensor_034, sensor_206. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000233,0,Pass,High Risk,0.1346828590055515,0.1685636711637997,0.8314363288362002,0.27693535514764567,0.0,sensor_104,0.8,Very High,"sensor_104, sensor_478, sensor_206, sensor_060, sensor_065",3,0,"The record is assigned to High Risk with a calibrated failure probability of 13.47%. The first statistical sensor measurements to investigate are sensor_104, sensor_478, sensor_206. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000234,0,Pass,High Risk,0.1691337865727382,0.2002679604884241,0.7997320395115759,0.36871508379888274,0.1687349656435694,sensor_104,0.8,Very High,"sensor_104, sensor_206, sensor_478, sensor_060, sensor_342",3,0,"The record is assigned to High Risk with a calibrated failure probability of 16.91%. The first statistical sensor measurements to investigate are sensor_104, sensor_206, sensor_478. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000235,0,Pass,High Risk,0.0996491343707387,0.343034950736988,0.656965049263012,0.4804469273743017,0.1690799178732079,sensor_034,0.75,High,"sensor_034, sensor_520, sensor_104, sensor_153, sensor_060",2,0,"The record is assigned to High Risk with a calibrated failure probability of 9.96%. The first statistical sensor measurements to investigate are sensor_034, sensor_520, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000239,1,Fail,High Risk,0.3250012272911499,0.3127861614453524,0.6872138385546476,0.7494014365522745,0.3234383566391242,sensor_104,0.825,Very High,"sensor_104, sensor_060, sensor_478, sensor_511, sensor_206",4,0,"The record is assigned to High Risk with a calibrated failure probability of 32.50%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_478. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000243,0,Pass,High Risk,0.1490733499274895,0.2764243428399709,0.723575657160029,0.8978451715881884,0.0,sensor_060,0.9249999999999999,Very High,"sensor_060, sensor_104, sensor_065, sensor_066, sensor_520",5,0,"The record is assigned to High Risk with a calibrated failure probability of 14.91%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_065. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000246,0,Pass,High Risk,0.1290701768064499,0.3233270058247077,0.6766729941752923,0.6975259377494014,0.0,sensor_104,0.875,Very High,"sensor_104, sensor_478, sensor_206, sensor_060, sensor_342",4,0,"The record is assigned to High Risk with a calibrated failure probability of 12.91%. The first statistical sensor measurements to investigate are sensor_104, sensor_478, sensor_206. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271345,0.7279325943728655,0.3806863527533919,0.1342108829865639,sensor_060,0.875,Very High,"sensor_060, sensor_478, sensor_206, sensor_104, sensor_342",3,0,"The record is assigned to High Risk with a calibrated failure probability of 8.82%. The first statistical sensor measurements to investigate are sensor_060, sensor_478, sensor_206. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000256,0,Pass,Engineering Review,0.0752601224037912,0.3027034066484707,0.6972965933515293,0.169193934557063,0.1081840648078594,sensor_104,0.825,Very High,"sensor_104, sensor_153, sensor_342, sensor_282, sensor_060",3,0,"The record is assigned to Engineering Review with a calibrated failure probability of 7.53%. The first statistical sensor measurements to investigate are sensor_104, sensor_153, sensor_342. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000259,0,Pass,Engineering Review,0.0581452047197266,0.3590468208178575,0.6409531791821425,0.7358339984038308,0.0,sensor_065,0.7,High,"sensor_065, sensor_060, sensor_153, sensor_104, sensor_034",2,0,"The record is assigned to Engineering Review with a calibrated failure probability of 5.81%. The first statistical sensor measurements to investigate are sensor_065, sensor_060, sensor_153. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000265,0,Pass,Engineering Review,0.0538031487423166,0.3830270519966526,0.6169729480033473,0.8675179569034318,0.0769910412205573,sensor_060,0.9,Very High,"sensor_060, sensor_511, sensor_034, sensor_153, sensor_104",3,0,"The record is assigned to Engineering Review with a calibrated failure probability of 5.38%. The first statistical sensor measurements to investigate are sensor_060, sensor_511, sensor_034. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000269,0,Pass,High Risk,0.0862601096438172,0.3396890071568369,0.6603109928431631,0.4964086193136472,0.0,sensor_060,0.95,Very High,"sensor_060, sensor_478, sensor_104, sensor_206, sensor_342",4,0,"The record is assigned to High Risk with a calibrated failure probability of 8.63%. The first statistical sensor measurements to investigate are sensor_060, sensor_478, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000270,0,Pass,High Risk,0.0978985629258668,0.2956679767881815,0.7043320232118184,0.5682362330407023,0.0,sensor_060,0.9249999999999999,Very High,"sensor_060, sensor_034, sensor_104, sensor_478, sensor_206",2,0,"The record is assigned to High Risk with a calibrated failure probability of 9.79%. The first statistical sensor measurements to investigate are sensor_060, sensor_034, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000284,0,Pass,Engineering Review,0.0511986153901467,0.3575143690842669,0.6424856309157331,0.893854748603352,0.0,sensor_060,0.875,Very High,"sensor_060, sensor_153, sensor_104, sensor_282, sensor_432",2,0,"The record is assigned to Engineering Review with a calibrated failure probability of 5.12%. The first statistical sensor measurements to investigate are sensor_060, sensor_153, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000289,0,Pass,High Risk,0.0818613127245224,0.2884532241536857,0.7115467758463143,0.6352753391859537,0.0,sensor_060,0.9,Very High,"sensor_060, sensor_206, sensor_342, sensor_104, sensor_147",3,0,"The record is assigned to High Risk with a calibrated failure probability of 8.19%. The first statistical sensor measurements to investigate are sensor_060, sensor_206, sensor_342. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000297,0,Pass,Engineering Review,0.0629760541589986,0.3174293547995154,0.6825706452004846,0.5371109337589786,0.0,sensor_342,0.875,Very High,"sensor_342, sensor_206, sensor_104, sensor_001, sensor_181",2,0,"The record is assigned to Engineering Review with a calibrated failure probability of 6.30%. The first statistical sensor measurements to investigate are sensor_342, sensor_206, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000298,0,Pass,High Risk,0.1151980509692443,0.2434314078657533,0.7565685921342467,0.38786911412609737,0.0,sensor_104,0.85,Very High,"sensor_104, sensor_065, sensor_060, sensor_066, sensor_032",2,0,"The record is assigned to High Risk with a calibrated failure probability of 11.52%. The first statistical sensor measurements to investigate are sensor_104, sensor_065, sensor_060. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000307,0,Pass,High Risk,0.1087341887862489,0.3235004172156148,0.6764995827843852,0.9664804469273743,0.0305516528515943,sensor_060,0.9249999999999999,Very High,"sensor_060, sensor_104, sensor_511, sensor_432, sensor_214",3,0,"The record is assigned to High Risk with a calibrated failure probability of 10.87%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000314,0,Pass,Engineering Review,0.0537917052352994,0.3075440111153306,0.6924559888846694,0.14445331205107736,0.0,sensor_317,0.7,High,"sensor_317, sensor_104, sensor_060, sensor_574, sensor_310",1,0,"The record is assigned to Engineering Review with a calibrated failure probability of 5.38%. The first statistical sensor measurements to investigate are sensor_317, sensor_104, sensor_060. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000321,0,Pass,High Risk,0.1258310775114571,0.3077908122238149,0.6922091877761851,0.5913806863527534,0.3,sensor_060,0.9249999999999999,Very High,"sensor_060, sensor_206, sensor_104, sensor_478, sensor_342",4,0,"The record is assigned to High Risk with a calibrated failure probability of 12.58%. The first statistical sensor measurements to investigate are sensor_060, sensor_206, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
